Публикация №,Заголовок,Ссылка на публикацию,Изображение,Описание,Цена,Город,Расположение,Дата добавления
1,1 Bedroom Apartment- North York Don Valley Parkway Brookbanks Dr,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-north-york-don-valley-parkway-brookbanks-dr/1638089620,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/39/396984b3-b69b-4893-864c-a1d389979b7c?rule=kijijica-200-jpg,"Touch free leasing: Virtual viewings via video conferencing and online leasing available. Book yours today. Our Rental Office remains operational in light of COVID-19. The health and safety of you, ...","$2,599.00",City of Toronto,Brookbanks Drive,22/01/2023
2,Bloor and Spadina,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bloor-and-spadina/1647587302,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/04/04055691-1231-4480-bbc5-649e9fdafa7f?rule=kijijica-200-jpg,Large 2 bedroom apartment in the heart of the Anex. Located above El Furniture Warehouse on the second floor. 410 Bloor St. West. Please TEXT only 416 518 4830,"$3,000.00",City of Toronto,Valley Woods Road,< 22 hours ago
3,Scarborough 1 Bedroom Apartment for Rent - 1320-1330 Danforth Ro,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-1-bedroom-apartment-for-rent-1320-1330-danforth-ro/1640739925,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/af/af1f29ba-6d66-4b29-916f-feeb471adfe0?rule=kijijica-200-jpg,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (437) 747-5214Virtual Open House: View our units by clicking ...","$1,924.00",Scarborough,Bloor Street West,< 23 hours ago
4,List Of 1Bed + Den With & Without Parking  At Front & Spadina,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/list-of-1bed-den-with-without-parking-at-front-spadina/1647474727,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/83/83bc11ef-f4e5-4b0c-b209-75e91e7c9c3e?rule=kijijica-200-jpg,"Luxury 1 Bedroom + Den Condo in Downtown Toronto Front And Spadina Steps To Ttc, Rogers Centre, Cn Tower, Harbourfront And Sobey's. Great amenities. Front and Spadina City Place LIST OF UNITS WITHOUT ...","$2,450.00",City of Toronto,Brunswick Avenue,22/01/2023
5,Large 1+Den Steps from Union Station for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-1-den-steps-from-union-station-for-rent/1645378326,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/94/949e285a-1706-4e57-8da2-7b845d879755?rule=kijijica-200-jpg,"Spacious Unit, Amazing Location! 1 Min To Path, 5 Mins To Waterfront/Cn Tower/Scotiabank Arena/Longo's, Steps To Union Station/Bay St. Huge Balcony (114Sqft) Is A Great Patio In Summer With A Bit Of ...","$2,600.00",City of Toronto,Danforth Road,28/12/2022
6,2 plus Den Apartments for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-plus-den-apartments-for-rent/1646438265,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d0/d044c6ca-b93e-4a1d-9a90-430c5866a985?rule=kijijica-200-jpg,"1 minutes walking TTC services, 15 minutes Toronto Downtown, 10 minutes Scarborough Downtown",Please Contact,City of Toronto,Savarin Street,07/01/2023
7,Upscale King St 1 bedroom Suite Rental,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-king-st-1-bedroom-suite-rental/1646448251,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d8/d849ae94-0d47-47b8-a1fe-e8964220dc4e?rule=kijijica-200-jpg,"$300 security deposit will be required at time of stay, refunded upon inspection. $250/night $1,000/week $1,700/ 2 weeks $2,800/month Enjoy a stylish experience at this centrally located suite. Brand ...",$250.00,City of Toronto,Spadina Avenue,07/01/2023
8,Toronto Demand Downtown Condo for Rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-demand-downtown-condo-for-rent/1646446534,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1d/1dd47a45-a667-4177-a92f-c2ef534bf813?rule=kijijica-200-jpg,Rental Options & Price: • $1850.00 per month for the master room and sharing the kitchen and dining/living room. • $1700.00 per month for the 2nd bedroom + Den +2nd Bathroom and sharing the kitchen ...,"$3,550.00",City of Toronto,Front Street West,07/01/2023
9,1 Bedroom + 1 Large Den - Downtown Condo For Rent (Harbourfront),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-1-large-den-downtown-condo-for-rent-harbourfront/1646443462,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/9e/9e783eec-63b9-40bc-a261-ca7f6de65f26?rule=kijijica-200-jpg,"FOR RENT: 1 Bedroom + 1 Den (~700 sqft, 1 Bathroom) AVAILABLE: Jan 30, 2023 LOCATION: Queens Quay East and Lower Sherbourne St. ➡️ Walking distance to Union Station, Bay Street / Financial District ...","$2,750.00",City of Toronto,Lower Simcoe Street,07/01/2023
10,"FOR RENT - Downtown Toronto 1+1 Condo, Bay & St Joseph",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/for-rent-downtown-toronto-1-1-condo-bay-st-joseph/1646443098,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7c/7c87c3de-d40a-4393-b578-e66b505e5be4?rule=kijijica-200-jpg,"Spacious condo for rent in downtown Toronto 1+1 bed, 1 bath 1001 Bay Street, Toronto, ON, M5S 3A6 Rent: - $2400/month - Water and heat included - Hydro not included (tenant to pay based on usage) ...","$2,400.00",City of Toronto,Grand Trunk Crescent,07/01/2023
